UF_CRM_5B892FA09CA39	DEAL	string	—
UF_CRM_5B892FA0C018C	DEAL	string	—
UF_CRM_5B892FA0E28BF	DEAL	string	—
UF_CRM_5B892FA11A124	DEAL	string	—
UF_CRM_5B892FA141015	DEAL	string	—
UF_CRM_5B892FA16618C	DEAL	string	—
UF_CRM_5BC5C9F40B82C	DEAL	string	—
UF_CRM_5BC5C9F436906	DEAL	string	—
UF_CRM_5BC5C9F456AE2	DEAL	string	—
UF_CRM_5BC5C9F47779B	DEAL	string	—
UF_CRM_5BC5C9F497E71	DEAL	string	—
UF_CRM_5BC5C9F4B6E6A	DEAL	string	—
UF_CRM_5BC5C9F4D9F33	DEAL	string	—
UF_CRM_5BC5C9F505E19	DEAL	string	—
UF_CRM_5BC5C9F524986	DEAL	string	—
UF_CRM_5BC5C9F549EB8	DEAL	string	—
UF_CRM_5BC5C9F567840	DEAL	string	—
UF_CRM_5BED85ED5EA3C	DEAL	string	—
UF_CRM_5BED85ED8F7EB	DEAL	string	—
UF_CRM_5BED85EDB3CED	DEAL	string	—
UF_CRM_5C1A4B9650F1E	DEAL	string	—
UF_CRM_5C1A4B96A7F33	DEAL	string	—
UF_CRM_5C1A4B97806BC	DEAL	string	—
UF_CRM_5C1A4B981BB4E	DEAL	string	—
UF_CRM_5C5ABBFFAB7CF	DEAL	string	—
UF_CRM_5C5ABBFFD32F6	DEAL	string	—
UF_CRM_5C5ABBFFE1EA6	DEAL	string	—
UF_CRM_5C5ABBFFEFD53	DEAL	string	—
UF_CRM_5C5ABC00074FD	DEAL	string	—
UF_CRM_5C5ABC0014C95	DEAL	string	—
UF_CRM_5C5ABC002982E	DEAL	string	—
UF_CRM_5C5ABC0048376	DEAL	string	—
UF_CRM_5C5ABC005F2E6	DEAL	string	—
UF_CRM_5C5ABC006E198	DEAL	string	—
UF_CRM_5C5ABC007C2C5	DEAL	string	—
UF_CRM_5C5ABC008F6AB	DEAL	string	—
UF_CRM_5C5ABC009DF8F	DEAL	string	—
UF_CRM_5C5ABC00ACE93	DEAL	string	—
UF_CRM_5C5ABC00BBF14	DEAL	string	—
UF_CRM_5C5ABC00CD6DB	DEAL	string	—
UF_CRM_5C5ABC00E0B5B	DEAL	string	—
UF_CRM_5C5ABC0115C12	DEAL	string	—
UF_CRM_5C5ABC014FB8F	DEAL	string	—
UF_CRM_5C5ABC015CB41	DEAL	string	—
